,d,a,n,tol,integral,loss,time,rank
24,2.0,15.0,51.0,1e-05,0.9999999962257342,3.7742657887918085e-09,0.028074264526367188,21.0
25,1.0,10.0,21.0,1e-05,1.0000000053505762,5.3505762043215555e-09,0.0017046928405761719,1.0
26,1.0,10.0,21.0,0.001,1.0000000053505762,5.3505762043215555e-09,0.0018186569213867188,1.0
27,1.0,10.0,21.0,1e-07,1.0000000053505762,5.3505762043215555e-09,0.001711130142211914,1.0
28,2.0,10.0,71.0,1e-05,0.999999993794326,6.20567397469074e-09,0.07884788513183594,27.0
29,2.0,15.0,51.0,0.001,0.9999999934093503,6.590649692661543e-09,0.02548813819885254,20.0
30,1.0,5.0,11.0,0.001,0.9999999931805309,6.819469100527442e-09,0.002376556396484375,1.0
31,1.0,5.0,11.0,1e-07,0.9999999931805309,6.819469100527442e-09,0.002256155014038086,1.0
32,1.0,5.0,11.0,1e-05,0.9999999931805309,6.819469100527442e-09,0.0025529861450195312,1.0
33,2.0,10.0,21.0,0.001,1.000000009427843,9.427842950771037e-09,0.010256290435791016,14.0
34,2.0,10.0,21.0,1e-07,1.0000000107011098,1.0701109776078965e-08,0.01580524444580078,18.0
35,2.0,10.0,21.0,1e-05,1.0000000107011098,1.0701109776078965e-08,0.014353513717651367,18.0
36,1.0,5.0,21.0,0.001,0.9999998859501777,1.1404982225293736e-07,0.0018694400787353516,1.0
37,1.0,5.0,21.0,1e-05,0.9999998859501777,1.1404982225293736e-07,0.001712799072265625,1.0
38,1.0,5.0,21.0,1e-07,0.9999998859501777,1.1404982225293736e-07,0.0017633438110351562,1.0
39,2.0,10.0,51.0,0.001,0.9999998249021083,1.7509789174141588e-07,0.03335237503051758,22.0
40,2.0,15.0,71.0,0.001,0.9999997026506483,2.973493516966741e-07,0.045255422592163086,21.0
41,1.0,5.0,51.0,0.001,0.9999996751981685,3.2480183154159903e-07,0.002225637435913086,1.0
42,1.0,5.0,51.0,1e-07,0.9999996751981685,3.2480183154159903e-07,0.0019071102142333984,1.0
43,1.0,5.0,51.0,1e-05,0.9999996751981685,3.2480183154159903e-07,0.002045154571533203,1.0
44,1.0,5.0,71.0,1e-05,0.9999996139885965,3.8601140350813523e-07,0.0020508766174316406,1.0
45,1.0,5.0,71.0,1e-07,0.9999996139885965,3.8601140350813523e-07,0.0020074844360351562,1.0
46,1.0,5.0,71.0,0.001,0.9999996139885965,3.8601140350813523e-07,0.0020284652709960938,1.0
47,2.0,10.0,71.0,0.001,0.9999992144707172,7.855292828429228e-07,0.05085611343383789,22.0
48,1.0,30.0,51.0,1e-07,1.0000022274865628,2.2274865627558427e-06,0.0019075870513916016,1.0
49,1.0,30.0,51.0,0.001,1.0000022274865628,2.2274865627558427e-06,0.001855611801147461,1.0
50,1.0,30.0,51.0,1e-05,1.0000022274865628,2.2274865627558427e-06,0.0018954277038574219,1.0
51,2.0,30.0,51.0,0.001,1.000004454977484,4.454977484025235e-06,0.014745473861694336,14.0
52,2.0,30.0,51.0,1e-05,1.0000044549780869,4.454978086876338e-06,0.03135943412780762,18.0
53,2.0,30.0,51.0,1e-07,1.0000044549780869,4.454978086876338e-06,0.025307893753051758,18.0
54,2.0,5.0,11.0,1e-05,0.9999276094742497,7.23905257502544e-05,0.01117086410522461,11.0
55,2.0,5.0,11.0,1e-07,0.9999276094742497,7.23905257502544e-05,0.010905742645263672,11.0
56,2.0,5.0,11.0,0.001,0.9999276094742497,7.23905257502544e-05,0.00791788101196289,11.0
57,2.0,5.0,21.0,0.001,0.9998096691728215,0.00019033082717845318,0.015300989151000977,21.0
58,2.0,5.0,21.0,1e-07,0.9998096691728213,0.00019033082717867522,0.021032333374023438,21.0
59,2.0,5.0,21.0,1e-05,0.9998096691728213,0.00019033082717867522,0.0231778621673584,21.0
60,2.0,5.0,51.0,1e-07,0.9996927775443626,0.00030722245563741257,0.18097543716430664,34.0
61,2.0,5.0,51.0,1e-05,0.9996927775439528,0.0003072224560471959,0.04986238479614258,28.0
62,2.0,5.0,51.0,0.001,0.9996927711539945,0.0003072288460055361,0.030797481536865234,22.0
63,1.0,15.0,21.0,0.001,1.0003097222873378,0.00030972228733783247,0.001903533935546875,1.0
64,1.0,15.0,21.0,1e-07,1.0003097222873378,0.00030972228733783247,0.0017752647399902344,1.0
65,1.0,15.0,21.0,1e-05,1.0003097222873378,0.00030972228733783247,0.002164602279663086,1.0
66,2.0,5.0,71.0,0.001,0.9996660677090589,0.0003339322909411413,0.04493451118469238,22.0
67,2.0,5.0,71.0,1e-07,0.9996660564853422,0.00033394351465776406,0.425060510635376,33.0
68,2.0,5.0,71.0,1e-05,0.9996660564803157,0.0003339435196842988,0.12874746322631836,26.0
69,2.0,15.0,21.0,1e-07,1.000619540502571,0.0006195405025710699,0.014093160629272461,18.0
70,2.0,15.0,21.0,1e-05,1.000619540502571,0.0006195405025710699,0.01400446891784668,18.0
71,2.0,15.0,21.0,0.001,1.0006195405025713,0.0006195405025712919,0.009740591049194336,14.0
72,3.0,5.0,11.0,1e-07,0.9986948498616862,0.001305150138313782,0.030854463577270508,13.0
73,3.0,5.0,11.0,1e-05,0.9986948498616862,0.001305150138313782,0.028270721435546875,13.0
74,3.0,5.0,11.0,0.001,0.9986948498616862,0.001305150138313782,0.026866674423217773,13.0
75,3.0,5.0,21.0,1e-07,0.9975796166692742,0.002420383330725806,5.875186920166016,23.0
76,3.0,5.0,21.0,0.001,0.9975796166692742,0.002420383330725806,5.7589170932769775,23.0
77,3.0,5.0,21.0,1e-05,0.9975796166692742,0.002420383330725806,5.538987398147583,23.0
78,3.0,5.0,51.0,0.001,0.9966685218360779,0.003331478163922097,38.10033392906189,27.0
79,1.0,10.0,11.0,1e-05,1.0143837720622289,0.01438377206222885,0.0016717910766601562,1.0
80,1.0,10.0,11.0,1e-07,1.0143837720622289,0.01438377206222885,0.0017538070678710938,1.0
81,1.0,10.0,11.0,0.001,1.0143837720622289,0.01438377206222885,0.0016219615936279297,1.0
82,2.0,10.0,11.0,1e-05,1.0289744370231955,0.028974437023195465,0.0079193115234375,11.0
83,2.0,10.0,11.0,0.001,1.0289744370231955,0.028974437023195465,0.008413553237915039,11.0
84,2.0,10.0,11.0,1e-07,1.0289744370231955,0.028974437023195465,0.00814056396484375,11.0
85,1.0,5.0,5.0,1e-05,1.0850046370689985,0.08500463706899852,0.002735137939453125,1.0
86,1.0,5.0,5.0,1e-07,1.0850046370689985,0.08500463706899852,0.0023276805877685547,1.0
