,d,nswp,rmax,accuracy,minimum,tt_min
58,20.0,7.0,3.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
59,20.0,30.0,7.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
60,20.0,30.0,5.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
61,20.0,30.0,3.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
62,20.0,30.0,1.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
63,20.0,20.0,10.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
64,20.0,20.0,7.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
65,20.0,7.0,1.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
66,20.0,7.0,5.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
67,20.0,20.0,1.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
68,20.0,7.0,7.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
69,20.0,7.0,10.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
70,20.0,15.0,1.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
71,20.0,20.0,5.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
72,20.0,15.0,3.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
73,20.0,15.0,5.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
74,20.0,15.0,7.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
75,20.0,15.0,10.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
76,10.0,15.0,5.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
77,20.0,30.0,10.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
78,10.0,30.0,3.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
79,10.0,30.0,7.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
80,10.0,7.0,5.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
81,10.0,7.0,7.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
82,10.0,7.0,10.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
83,10.0,15.0,3.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
84,10.0,15.0,7.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
85,10.0,15.0,10.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
86,10.0,20.0,3.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
87,10.0,20.0,5.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
88,10.0,20.0,7.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
89,10.0,20.0,10.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
90,10.0,30.0,5.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
91,10.0,7.0,3.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
92,10.0,30.0,10.0,0.9999999999999996,-11.099409806993252,-11.099409806993258
93,15.0,20.0,5.0,0.9993027557044061,-11.320691619842814,-11.3127983321887
94,15.0,7.0,5.0,0.9993027557044061,-11.320691619842814,-11.3127983321887
95,15.0,15.0,5.0,0.9985716374137074,-11.320691619842814,-11.304521567482073
96,15.0,15.0,3.0,0.9958165342264346,-11.320691619842814,-11.273331893918112
97,15.0,20.0,3.0,0.9958165342264343,-11.320691619842814,-11.27333189391811
98,15.0,7.0,3.0,0.9958165342264343,-11.320691619842814,-11.27333189391811
99,10.0,1.0,10.0,0.9957452725471011,-11.099409806993252,-11.052184843376462
100,15.0,30.0,3.0,0.9943881716401414,-11.320691619842814,-11.257161841557366
101,15.0,1.0,10.0,0.9879774769993755,-11.320691619842814,-11.184588344460277
102,20.0,1.0,10.0,0.9874156604449267,-25.82078522385259,-25.49584769501701
103,10.0,1.0,7.0,0.9870599553574685,-11.099409806993252,-10.955782948585007
104,15.0,1.0,7.0,0.9811959003806774,-11.320691619842814,-11.107816206863658
105,20.0,1.0,7.0,0.9795459404313064,-25.82078522385259,-25.292645344773465
106,15.0,30.0,1.0,0.9680773985389546,-11.320691619842814,-10.959305692999175
107,15.0,20.0,1.0,0.9670795393210446,-11.320691619842814,-10.9480092365132
108,10.0,1.0,5.0,0.9635875394656493,-11.099409806993252,-10.695252985441526
109,10.0,20.0,1.0,0.9631490902560863,-11.099409806993252,-10.690386457985033
110,15.0,1.0,5.0,0.961110803690706,-11.320691619842814,-10.880439021081767
111,15.0,7.0,1.0,0.9600969568285829,-11.320691619842814,-10.868961573405926
112,20.0,1.0,5.0,0.9594507437783433,-25.82078522385259,-24.773771587966223
113,10.0,30.0,1.0,0.958542726538097,-11.099409806993252,-10.639258539359005
114,10.0,7.0,1.0,0.9585427265380969,-11.099409806993252,-10.639258539359004
115,15.0,15.0,1.0,0.9552069238398596,-11.320691619842814,-10.813603017929731
116,10.0,15.0,1.0,0.9539363628201076,-11.099409806993252,-10.588130620732976
117,20.0,1.0,3.0,0.9521179693697097,-25.82078522385259,-24.58443359486593
118,15.0,1.0,3.0,0.9454693255645487,-11.320691619842814,-10.703366670737022
119,10.0,1.0,3.0,0.9233323334086722,-11.099409806993252,-10.24844395655018
120,20.0,1.0,1.0,0.8699716838615541,-25.82078522385259,-22.46335199982257
121,10.0,1.0,1.0,0.862739395109252,-11.099409806993252,-9.575898102955058
122,15.0,1.0,1.0,0.8582803830054663,-11.320691619842814,-9.716327539365462
123,5.0,1.0,1.0,0.7902714268495703,-4.232275334070778,-3.3446462670763553
124,2.0,1.0,1.0,0.7248581998129652,-1.8713992411366382,-1.3564990850616527
